callsign,date,time,mode
5P1KZX,2026-05-25,05:38,FT8
AC9HP,2025-12-29,19:43,FT8
AF0E,2026-03-29,01:07,FT8
CX2DAJ,2026-04-16,22:52,FT8
DE1TTY,2026-05-25,05:40,FT8
EA117URE,2026-03-25,17:42,FT8
EA1HDN,2026-03-28,19:49,FT8
EA2EED,2026-03-28,20:39,FT8
EA3FNQ,2026-03-28,20:21,FT8
EA3GGM,2026-05-25,04:14,FT8
EA5ISM,2026-04-28,01:36,FT8
EA5IT,2026-05-17,06:10,FT8
F5PGF,2026-01-09,22:08,FT8
F5PGF,2026-04-03,17:17,FT4
HK4FZ,2026-04-09,23:39,FT8
I1-6935/TO,2026-03-09,13:02,FT8
IN3IJJ,2026-05-25,04:48,FT8
IN3WZS,2026-05-25,05:01,FT8
IU6UAQ,2026-05-25,05:03,FT8
IV3116SWL,2026-05-17,04:41,FT8
K1MBK,2026-03-30,00:37,SSB
K5WBM,2026-04-08,00:11,FT8
K7BAS,2025-01-24,21:15,FT8
KC1UVP,2026-03-18,12:50,FT8
KE2KE,2025-12-27,03:25,FT8
KF8EFV,2026-03-31,21:38,FT8
KJ5CGW,2026-04-03,02:18,FT8
KK4RXE,2026-05-21,23:57,FT8
KN5UTE,2026-03-12,14:44,FT8
KR4ECC,2026-03-11,23:21,FT8
KZ6B,2026-03-31,00:41,FT8
M3TLJ,2026-05-23,06:01,FT8
MA3310SWL,2026-04-13,21:48,FT8
MM7IFX,2026-03-01,17:25,FT8
N0WHA,2026-03-28,20:03,FT8
N7AFB,2026-02-12,00:50,FT8
NL-SWL-1975,2026-05-19,05:57,FT8
NL-SWL-1975,2026-05-17,22:21,FT8
NP4LP,2026-04-03,00:07,FT8
NZ4N,2026-03-09,22:46,FT8
OE3OOG,2026-03-28,20:39,FT8
PA11674SWL,2026-05-25,02:06,FT8
PA11674SWL,2026-05-24,01:17,FT8
PA11674SWL,2026-05-23,00:38,FT8
PA3WB,2026-05-25,05:36,FT8
PD8RUK,2026-05-25,06:02,FT8
PP5ARF,2026-03-10,10:27,FT8
PY2GIG,2026-03-20,23:36,FT8
R0ADK,2026-03-25,02:39,FT8
R4DI,2026-04-15,03:22,FT8
R6DOP,2026-05-17,05:04,FT8
R6LIG,2026-05-22,03:15,FT8
R6OJ,2026-05-25,05:57,FT8
RO6K,2026-05-25,04:12,FT8
RW4C,2026-05-25,02:01,FT8
SQ7FZR,2026-03-28,20:04,FT8
SQ8AGI,2026-03-28,20:13,FT8
SV4RRK,2026-05-25,03:10,FT8
UA3IHJ,2026-05-25,06:14,FT8
UT3UZ,2026-05-25,06:02,FT8
VA3PVK,2026-03-28,20:43,FT8
VK2VT,2026-05-25,05:20,FT8
W1JKN,2026-03-28,19:33,FT8
W4LAB,2025-12-11,15:11,FT8
WA8MDC/4,2026-03-21,00:42,FT8
WP4PNT,2026-03-10,13:08,FT8
